null,136
0,6
1,5193
2,3725
3,4161
4,1821
5,1044
6,4665
7,2501
8,7566
9,319
10,1115
11,1142
12,351
13,756
14,3014
15,3811
16,3726
17,1655
18,734
19,6207
20,2347
21,2858
22,5840
23,11787
24,7122
25,22798
26,6634
27,7195
28,7144
29,11600
30,6252
31,3113
32,3015
33,1472
34,1054
35,2970
36,930
37,1054
38,4935
39,1966
40,4488
41,1293
42,6512
43,13060
44,7156
45,1875
46,7571
47,507
48,1614
49,10642
50,1569
51,2305
52,1741
53,6469
54,2134
55,709
56,2017
57,894
58,3341
59,1127
60,1889
61,8108
62,966
63,3100
64,1278
65,1743
66,9342
67,12403
68,12077
69,10185
70,2608
71,10911
72,768
73,3995
74,654
75,2668
76,907
77,3016
