null	855
0	30
1	28073
2	24029
3	26012
4	12636
5	10953
6	38657
7	29024
8	59889
9	1857
10	8070
11	7392
12	3447
13	6239
14	16986
15	24210
16	22339
17	12076
18	4647
19	37180
20	11480
21	18211
22	39904
23	60218
24	55701
25	121620
26	33149
27	34645
28	50837
29	53075
30	31741
31	17952
32	40012
33	11763
34	6943
35	15798
36	4242
37	6192
38	24209
39	10811
40	19989
41	10657
42	31614
43	63325
44	39635
45	9942
46	35691
47	2803
48	10641
49	52913
50	7013
51	12695
52	9732
53	31518
54	7311
55	4116
56	14544
57	7072
58	18495
59	7805
60	12144
61	39450
62	7597
63	18830
64	7581
65	14266
66	50777
67	57089
68	51733
69	47209
70	17478
71	54992
72	6790
73	22404
74	4189
75	15605
76	10151
77	18060
