null,616046
0,88
1,87152
2,70454
3,83687
4,39604
5,34505
6,111435
7,87887
8,187051
9,5486
10,24141
11,22459
12,10092
13,18827
14,50614
15,72586
16,65019
17,35184
18,13527
19,105809
20,34892
21,53892
22,121384
23,180307
24,168267
25,364718
26,104511
27,108199
28,164661
29,160820
30,95537
31,55577
32,125902
33,43362
34,21016
35,63961
36,12325
37,19186
38,79251
39,32371
40,61295
41,35024
42,94348
43,185252
44,120401
45,29319
46,106776
47,8515
48,30786
49,152008
50,22576
51,36723
52,28772
53,93998
54,24644
55,12233
56,47790
57,20777
58,56422
59,23932
60,36911
61,119674
62,22173
63,53065
64,22645
65,42975
66,142532
67,168515
68,153498
69,140048
70,51814
71,161079
72,20577
73,67157
74,12838
75,45524
76,31166
77,55667
