null,224
0,8
1,5716
2,5719
3,6758
4,3631
5,3799
6,15136
7,13444
8,26397
9,421
10,2201
11,1688
12,974
13,1746
14,3364
15,5643
16,4895
17,2837
18,1045
19,7078
20,1519
21,3949
22,11209
23,7893
24,18386
25,16602
26,4061
27,4668
28,17893
29,6897
30,4775
31,3605
32,20899
33,3766
34,1821
35,3527
36,764
37,1210
38,4004
39,2714
40,2661
41,3549
42,4248
43,9904
44,7925
45,2110
46,4990
47,382
48,2352
49,8030
50,1147
51,2266
52,1405
53,4363
54,758
55,841
56,2899
57,1580
58,2834
59,2041
60,2580
61,6026
62,1613
63,3059
64,1458
65,4305
66,7403
67,8413
68,7191
69,6350
70,3272
71,7731
72,1887
73,3894
74,1041
75,3191
76,3033
77,5132
